Date ,TR,Close
9/14/12,856.84,569.9
9/17/12,850.14,565.44
9/18/12,844.02,561.37
9/19/12,836.13,556.12
9/20/12,839.74,558.53
9/21/12,841.31,559.57
9/24/12,836.93,556.66
9/25/12,829.46,551.69
9/26/12,822.11,546.8
9/27/12,832.83,553.93
9/28/12,828.72,551.19
10/1/12,833.2,554.18
10/2/12,833.56,554.42
10/3/12,824.28,548.24
10/4/12,832.56,553.75
10/5/12,831.32,552.93
10/8/12,832.48,553.7
10/9/12,832.55,553.75
10/10/12,817.66,543.84
10/11/12,823.1,547.08
10/12/12,818.83,544.24
10/15/12,823.08,547.04
10/16/12,835.74,555.46
10/17/12,845.62,562.02
10/18/12,845.91,562.19
10/19/12,833.22,553.76
10/22/12,829.64,551.38
10/23/12,810.04,538.35
10/24/12,804.96,534.98
10/25/12,812.41,539.93
10/26/12,813.18,540.44
10/31/12,812.61,539.94
11/1/12,817.51,543.14
11/2/12,803.56,533.87
11/5/12,809.38,537.74
11/6/12,822.05,546.16
11/7/12,798.54,529.44
11/8/12,785.38,520.71
11/9/12,785.53,520.82
11/12/12,786.62,521.54
11/13/12,782.15,518.57
11/14/12,773.22,511.96
11/15/12,774.02,512.49
11/16/12,776.83,514.35
11/19/12,794.32,525.8
11/20/12,791.18,523.72
11/21/12,795.54,526.61
11/23/12,806.07,533.58
11/26/12,799.47,529.21
11/27/12,791.89,524.2
11/28/12,800.5,529.88
11/29/12,801.46,530.38
11/30/12,801.2,530.21
12/3/12,796.31,526.97
12/4/12,793.31,524.95
12/5/12,799,528.62
12/6/12,801.73,530.23
12/7/12,806.97,533.69
12/10/12,806.19,533.16
12/11/12,810.62,536.09
12/12/12,813.88,538.22
12/13/12,806.69,533.45
12/14/12,803.05,531.05
12/17/12,810.15,535.74
12/18/12,823.79,544.76
12/19/12,817.24,540.42
12/20/12,823.18,544.35
12/21/12,813.63,538.03
12/24/12,807.76,534.15
12/26/12,804.75,532.16
12/27/12,803.65,531.43
12/28/12,789.44,522.03
12/31/12,805.96,532.96
1/2/13,824.76,545.39
1/3/13,823.95,544.85
1/4/13,832.58,550.56
1/7/13,825.77,546.06
1/8/13,824.45,545.19
1/9/13,822.79,544.08
1/10/13,830.59,549.24
1/11/13,832.46,550.46
1/14/13,832.37,550.41
1/15/13,835.56,552.49
1/16/13,838.14,554.2
1/17/13,843.97,558.03
1/18/13,851.59,563.07
1/22/13,859.02,567.98
1/23/13,855.86,565.89
1/24/13,859.52,568.31
1/25/13,867,573.26
1/28/13,864.16,571.38
1/29/13,877.84,580.33
1/30/13,871.98,576.47
1/31/13,867.4,573.41
2/1/13,875.43,578.72
2/4/13,867.13,573.23
2/5/13,873.47,577.41
2/6/13,873.71,577.57
2/7/13,870.66,574.53
2/8/13,877.83,579.27
2/11/13,873.01,576.04
2/12/13,875.74,577.85
2/13/13,878.74,579.07
2/14/13,883.86,582.1
2/15/13,874.93,575.96
2/19/13,885.14,582.61
2/20/13,869.07,572.03
2/21/13,863.24,568.2
2/22/13,871.41,573.57
2/25/13,849.5,559.15
2/26/13,857.41,564.35
2/27/13,870.49,572.96
2/28/13,871.15,573.39
3/1/13,869.24,572.13
3/4/13,867.21,570.75
3/5/13,873.47,574.87
3/6/13,874.34,575.16
3/7/13,876.61,576.61
3/8/13,880.57,579.21
3/11/13,880.92,579.42
3/12/13,882.03,580.15
3/13/13,880.48,579.07
3/14/13,891.95,586.61
3/15/13,890.61,585.73
3/18/13,882.76,580.57
3/19/13,874.46,575.11
3/20/13,879.52,578.44
3/21/13,874.91,575.41
3/22/13,882.1,580.13
3/25/13,878.75,577.93
3/26/13,888.11,584.09
3/27/13,890.73,585.81
3/28/13,887.95,583.98
4/1/13,887.8,583.88
4/2/13,883.63,581.14
4/3/13,869.39,571.78
4/4/13,868.39,571.12
4/5/13,868.45,571.16
4/8/13,872.77,574
4/9/13,879.33,578.31
4/10/13,883.75,581.22
4/11/13,887.8,583.87
4/12/13,876.04,576.11
4/15/13,842.1,553.79
4/16/13,851.15,559.74
4/17/13,834.61,548.87
4/18/13,840.53,552.73
4/19/13,840.27,552.56
4/22/13,849.03,558.32
4/23/13,858.71,564.69
4/24/13,868.77,571.3
4/25/13,867.62,570.45
4/26/13,867.44,570.34
4/29/13,875.96,575.94
4/30/13,880.37,578.84
5/1/13,865.97,569.36
5/2/13,877.18,576.68
5/3/13,893.02,587.07
5/6/13,898.01,590.35
5/7/13,904.06,594.33
5/8/13,906.13,595.6
5/9/13,905.27,593.95
5/10/13,901.08,591.2
5/13/13,900.87,591.06
5/14/13,912.61,598.67
5/15/13,910.4,596.44
5/16/13,905.66,593.27
5/17/13,919.96,602.63
5/20/13,931.86,610.38
5/21/13,931.48,610.14
5/22/13,920.49,602.63
5/23/13,918.65,601.43
5/24/13,915.48,599.35
5/28/13,924.7,605.39
5/29/13,922.98,604.25
5/30/13,920.87,602.87
5/31/13,902.53,590.86
6/3/13,911.9,596.79
